xodrFile,NodeID,target_lon,target_lat,link_East,link_South,link_West,link_North,Node_Name,
futian20210114.xodr,19660,114.05598196166672,22.539500318348267,"12640,12659,12677,4","12707,12743,12724","12623,12605,1601",,福华一路/中心五路,
futian20210114.xodr,9785,114.0513647175353,22.535300578407263,"1268,1311,1335","2081,387,2135","1992,2058,2034","4314,4364,4336,5514",福华三路/益田路,
futian20210114.xodr,9736,114.04787737035892,22.53731239379357,"1831,1859,1877,1662,1619,1640,1919,6409,6427,1900","1945","5306,5332,5065","1965,8236",福华路/民田路,
futian20210114.xodr,9737,114.05122274719909,22.537401209172916,"1486,1532,5442","4111,4134,4152,5535,5561,5497","207,1716,1693,1766,1809,1790,3901","4251,4273,4291,5611",福华路/益田路,
futian20210114.xodr,9738,114.05112959821616,22.53949546586961,"1554,460,1583","4174,4235,392,4198,5671","2310,8337,8344","246,3036,3012",福华一路/益田路,
futian20210114.xodr,9739,114.05333591692843,22.53540396261824,"4032,4061,4086,1388,1363,1414,12145,12168,12097,12119","","5407","",福华三路/中心四路,
futian20210114.xodr,9740,114.05337801430211,22.537415307450647,"1437,1463,12393,12417,12437","573","5710,5693","",福华路/中心四路,
futian20210114.xodr,9741,114.05336188905926,22.539474974779182,"1601,12605,12623","852","5736","",福华一路/中心四路,
futian20210114.xodr,1001,114.05598990779784,22.53540092018505,"12305,12333,12353,12373","","12119,12097,12168,12145,1414,1363,1388,4086,4061,4032","979",福华三路/中心五路,
futian20210114.xodr,19662,114.05807610813903,22.539597444116296,"13884,13898","14439,14462,14479","4,12677,12659,12640","16074,16039",福华一路/金田路,
futian20210114.xodr,19677,114.06036260612163,22.545493263169895,"13745,13762","18510","12756,12809,12791","12847,15047,12825",福中三路/海田路,
futian20210114.xodr,1080,114.05598423073285,22.53756167465158,"12466","","12437,12417,12393,1463,1437","12724,12743,12707",福华路/中心五路,
futian20210114.xodr,9726,114.051023966255,22.54936642015681,"3362,18105","2581,2672,2552","3380","2506,2531,6160",福中一路/益田路,
futian20210114.xodr,19674,114.05528658546602,22.54732958148616,"13121","15197","13074,14124,14102,3936,2832","",福中路/鹏程四路,
futian20210114.xodr,19663,114.05803635651782,22.53753316616126,"12928,499,583","14354,14376,14411,12025,53","116,12554,12530,162,12502","14233,14280,14252,13723,422,13687",福华路/金田路,
futian20210114.xodr,898,114.06033118261925,22.547498868673774,"16613","12825,15047,12847","15294,18407","12889,15030,12868",福中路/海田路,
futian20210114.xodr,9790,114.04955664775834,22.537396430586746,"3901,1790,1809,1766,1693,1716,207","","1900,6427,6409,1919,1640,1619,1662,1877,1859,1831","",福华路/中心二路,
futian20210114.xodr,579,114.04772443488268,22.545314043873397,"8875,8887,8865","8855,9212,9202","8905,8894","567,7995",民田路/福中三路,
futian20210114.xodr,19664,114.06026047015695,22.54949544142825,"12909,14779,14823,14855","12868,15030,12889","13777,18236","15064",福中一路/海田路,
futian20210114.xodr,19684,114.05798406762398,22.535449200143532,"","13040,15530","12267,12239,12214","14330,14306,12069,104,53,12025,14411,14354",福华三路/金田路,
futian20210114.xodr,19736,114.05786279028345,22.54942314686942,"18223","18126,15692","24278","729,18090,322,348,11772",福中一路/金田路,